24-03-2026 19:14:13 | GET | cafeteria_api
24-03-2026 19:20:21 | GET | cafeteria_api/categorias
24-03-2026 19:21:11 | GET | cafeteria_api/pedidos
24-03-2026 20:00:18 | POST | cafeteria_api/categorias
24-03-2026 20:01:11 | POST | cafeteria_api/categorias
24-03-2026 20:02:19 | POST | cafeteria_api/categorias
24-03-2026 20:03:50 | POST | cafeteria_api/categorias
24-03-2026 20:07:40 | POST | cafeteria_api/categorias
24-03-2026 20:08:30 | POST | cafeteria_api/categorias
24-03-2026 20:08:35 | POST | cafeteria_api/categorias
24-03-2026 20:09:07 | POST | cafeteria_api/categorias
24-03-2026 20:09:31 | POST | cafeteria_api/categorias
24-03-2026 20:12:07 | POST | cafeteria_api/categorias
24-03-2026 20:12:34 | GET | cafeteria_api/pedidos
24-03-2026 20:12:44 | GET | cafeteria_api/categorias
24-03-2026 20:12:47 | GET | cafeteria_api/categorias
27-03-2026 19:14:10 | POST | cafeteria_api/categorias
27-03-2026 19:19:34 | POST | cafeteria_api/categorias
31-03-2026 13:31:21 | GET | cafeteria_api/categorias
31-03-2026 13:43:02 | GET | cafeteria_api/categorias
31-03-2026 13:52:15 | GET | cafeteria_api/categorias
31-03-2026 13:53:05 | GET | cafeteria_api/categorias
31-03-2026 13:53:49 | GET | cafeteria_api/categorias
31-03-2026 13:54:27 | GET | cafeteria_api/categorias
31-03-2026 13:56:35 | GET | cafeteria_api/categorias
31-03-2026 13:56:35 | GET | cafeteria_api/categorias
31-03-2026 13:59:02 | GET | cafeteria_api/categorias
31-03-2026 13:59:11 | GET | cafeteria_api/categorias
31-03-2026 13:59:14 | GET | cafeteria_api/categorias
31-03-2026 13:59:50 | GET | cafeteria_api/categorias
31-03-2026 13:59:52 | GET | cafeteria_api/categorias
31-03-2026 14:00:03 | GET | cafeteria_api/categorias
31-03-2026 14:01:50 | GET | cafeteria_api/categorias
31-03-2026 14:01:52 | GET | cafeteria_api/categorias
31-03-2026 14:06:36 | GET | cafeteria_api/categorias
31-03-2026 14:11:41 | GET | cafeteria_api/categorias
31-03-2026 14:11:48 | GET | cafeteria_api/categorias
31-03-2026 14:11:52 | GET | cafeteria_api/categorias
31-03-2026 14:15:02 | GET | cafeteria_api/categorias
31-03-2026 14:15:06 | GET | cafeteria_api/categorias
31-03-2026 14:15:07 | GET | cafeteria_api/categorias
31-03-2026 14:16:10 | GET | cafeteria_api/categorias
31-03-2026 14:16:14 | GET | cafeteria_api/categorias
31-03-2026 14:16:15 | GET | cafeteria_api/categorias
31-03-2026 14:16:59 | GET | cafeteria_api/categorias
31-03-2026 14:18:42 | GET | cafeteria_api/categorias
31-03-2026 14:21:39 | GET | cafeteria_api/categorias
31-03-2026 14:22:43 | GET | cafeteria_api/categorias
31-03-2026 14:24:09 | GET | cafeteria_api/categorias
31-03-2026 14:24:36 | GET | cafeteria_api/categorias
31-03-2026 14:24:47 | GET | cafeteria_api/categorias
31-03-2026 14:25:46 | GET | cafeteria_api/categorias
31-03-2026 14:28:34 | GET | cafeteria_api/categorias
31-03-2026 14:28:56 | GET | cafeteria_api/categorias
31-03-2026 14:28:59 | GET | cafeteria_api/categorias
31-03-2026 14:28:59 | GET | cafeteria_api/categorias
31-03-2026 14:29:59 | GET | cafeteria_api/categorias
31-03-2026 14:30:03 | GET | cafeteria_api/categorias
31-03-2026 14:30:05 | GET | cafeteria_api/categorias
31-03-2026 14:30:06 | GET | cafeteria_api/categorias
31-03-2026 14:30:07 | GET | cafeteria_api/categorias
