2026-04-10 04:40:01 | GET | meus-planos-api/categorias
2026-04-10 04:40:08 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:40:08 | POST | meus-planos-api/categorias
2026-04-10 04:42:00 | GET | meus-planos-api/categorias
2026-04-10 04:42:06 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:42:06 | POST | meus-planos-api/categorias
2026-04-10 04:42:06 | GET | meus-planos-api/categorias
2026-04-10 04:42:12 | GET | meus-planos-api/itens
2026-04-10 04:42:12 | GET | meus-planos-api/categorias
2026-04-10 04:42:24 | OPTIONS | meus-planos-api/itens
2026-04-10 04:42:24 | POST | meus-planos-api/itens
2026-04-10 04:42:24 | GET | meus-planos-api/itens
2026-04-10 04:57:25 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/itens
2026-04-10 04:58:34 | GET | meus-planos-api/categorias
2026-04-10 04:58:34 | GET | meus-planos-api/itens
2026-04-10 05:01:26 | GET | meus-planos-api/categorias
2026-04-10 05:01:26 | GET | meus-planos-api/itens
2026-04-10 05:01:29 | GET | meus-planos-api/categorias
2026-04-10 05:04:43 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/itens
2026-04-10 05:05:15 | GET | meus-planos-api/categorias
2026-04-10 14:34:28 | GET | meus-planos-api/categorias
2026-04-10 14:37:06 | GET | meus-planos-api/categorias
2026-04-10 14:37:31 | GET | meus-planos-api/categorias
2026-04-10 14:39:15 | GET | meus-planos-api/categorias
2026-04-10 14:39:16 | GET | meus-planos-api/categorias
2026-04-10 14:40:10 | POST | meus-planos-api/categorias
2026-04-10 14:40:10 | GET | meus-planos-api/categorias
2026-04-10 14:40:12 | OPTIONS | meus-planos-api/categorias/1
2026-04-10 14:40:12 | DELETE | meus-planos-api/categorias/1
2026-04-10 14:40:12 | GET | meus-planos-api/categorias
2026-04-10 14:40:12 | OPTIONS | meus-planos-api/categorias/2
2026-04-10 14:40:12 | DELETE | meus-planos-api/categorias/2
2026-04-10 14:40:12 | GET | meus-planos-api/categorias
2026-04-10 14:40:20 | POST | meus-planos-api/categorias
2026-04-10 14:40:20 | GET | meus-planos-api/categorias
2026-04-10 14:40:28 | POST | meus-planos-api/categorias
2026-04-10 14:40:28 | GET | meus-planos-api/categorias
2026-04-10 14:40:57 | POST | meus-planos-api/categorias
2026-04-10 14:40:57 | GET | meus-planos-api/categorias
2026-04-10 14:45:17 | GET | meus-planos-api/itens
2026-04-10 14:46:45 | OPTIONS | meus-planos-api/categorias/3
2026-04-10 14:46:45 | DELETE | meus-planos-api/categorias/3
2026-04-10 14:46:45 | GET | meus-planos-api/categorias
2026-04-10 14:46:45 | OPTIONS | meus-planos-api/categorias/5
2026-04-10 14:46:45 | DELETE | meus-planos-api/categorias/5
2026-04-10 14:46:45 | GET | meus-planos-api/categorias
2026-04-10 14:46:46 | OPTIONS | meus-planos-api/categorias/4
2026-04-10 14:46:46 | DELETE | meus-planos-api/categorias/4
2026-04-10 14:46:46 | GET | meus-planos-api/categorias
2026-04-10 14:47:52 | GET | meus-planos-api/categorias
2026-04-10 14:48:14 | GET | meus-planos-api/categorias
2026-04-10 14:48:20 | GET | meus-planos-api/categorias
2026-04-10 14:48:29 | POST | meus-planos-api/categorias
2026-04-10 14:48:29 | GET | meus-planos-api/categorias
2026-04-10 14:48:37 | POST | meus-planos-api/categorias
2026-04-10 14:48:37 | GET | meus-planos-api/categorias
2026-04-10 14:48:41 | POST | meus-planos-api/categorias
2026-04-10 14:48:41 | GET | meus-planos-api/categorias
2026-04-10 14:48:45 | POST | meus-planos-api/categorias
2026-04-10 14:48:45 | GET | meus-planos-api/categorias
2026-04-10 14:49:08 | GET | meus-planos-api/categorias
2026-04-10 14:49:14 | GET | meus-planos-api/categorias
2026-04-10 14:49:18 | GET | meus-planos-api/categorias
2026-04-10 14:52:58 | GET | meus-planos-api/categorias
2026-04-10 14:53:00 | GET | meus-planos-api/categorias
2026-04-10 14:53:03 | GET | meus-planos-api/categorias
2026-04-10 14:53:04 | GET | meus-planos-api/categorias
2026-04-10 14:53:05 | GET | meus-planos-api/categorias
2026-04-10 14:53:12 | GET | meus-planos-api/categorias
2026-04-10 15:00:24 | GET | meus-planos-api/itens
2026-04-10 15:01:08 | GET | meus-planos-api/itens
2026-04-10 15:02:05 | GET | meus-planos-api/categorias
2026-04-10 15:02:07 | GET | meus-planos-api/itens
2026-04-10 15:28:24 | GET | meus-planos-api/itens
2026-04-10 15:29:27 | GET | meus-planos-api/itens
2026-04-10 15:29:37 | GET | meus-planos-api/itens
2026-04-10 15:29:40 | GET | meus-planos-api/itens
2026-04-10 15:29:53 | GET | meus-planos-api/itens
2026-04-10 15:35:09 | GET | meus-planos-api/itens
2026-04-10 15:35:13 | GET | meus-planos-api/itens
2026-04-10 15:35:28 | GET | meus-planos-api/itens
2026-04-10 15:37:12 | GET | meus-planos-api/itens
2026-04-10 15:38:08 | GET | meus-planos-api/itens
2026-04-10 15:38:14 | GET | meus-planos-api/itens
2026-04-10 15:38:15 | GET | meus-planos-api/itens
